iter	RMSE
0	827.343238
1	782.6759838
2	741.3063636
3	701.9179023
4	666.0327578
5	632.3169434
6	600.5186094
7	570.4160175
8	542.0531138
9	515.4655548
10	490.7897397
11	467.5498508
12	446.5116158
13	426.8079575
14	407.5991446
15	390.8054109
16	374.0957651
17	358.8797251
18	345.3954093
19	331.9418628
20	319.775255
21	309.1287717
22	298.7284533
23	289.7430406
24	281.5583636
25	273.2936232
26	265.1984706
27	258.1109903
28	251.2798653
29	244.7805324
30	238.9029194
31	232.1023199
32	226.6327993
33	221.9785291
34	217.3872693
35	213.0584785
36	209.9315032
37	206.3651936
38	202.9649034
39	200.3172366
40	196.8493088
41	194.5766378
42	192.4286974
43	189.7496399
44	187.2224936
45	184.7761249
46	182.8942646
47	180.0605698
48	178.8303433
49	176.472167
50	174.2648495
51	172.7504512
52	171.2639422
53	169.9735592
54	169.1668
55	167.949788
56	166.9499829
57	165.7745962
58	164.8798806
59	163.8849044
60	162.806538
61	161.4879143
62	160.9399345
63	160.5168516
64	159.6230701
65	158.3248258
66	156.929953
67	156.0912611
68	155.3949391
69	153.9935672
70	152.5909411
71	151.8227408
72	150.9087409
73	150.4344778
74	150.1877758
75	149.8313359
76	149.5376969
77	148.9675398
78	148.5912278
79	147.6203173
80	147.2767536
81	146.3491118
82	145.2781557
83	144.9018861
84	144.8308644
85	143.3150008
86	143.1338644
87	142.6524403
88	142.3331759
89	142.2994222
90	142.0839553
91	142.0570773
92	141.7449005
93	141.6649478
94	141.5736441
95	141.0100073
96	140.9875726
97	140.9331165
98	140.7286593
99	140.095596
100	139.5591853
101	139.5232774
102	139.4918998
103	139.4425529
104	139.0548998
105	138.2793049
106	138.2065852
107	138.0973166
108	137.5471178
109	137.477737
110	136.8495211
111	136.1730169
112	136.1266383
113	135.5887856
114	135.2025428
115	135.0738338
116	134.456157
117	134.398242
118	133.5981469
119	133.5814018
120	132.8938258
121	132.6965341
122	132.1461239
123	131.7654759
124	131.519711
125	131.2406967
126	130.8434977
127	130.6562272
128	130.5796997
129	130.4639012
130	130.0064191
131	129.663227
132	129.6181057
133	128.9706051
134	128.6651903
135	128.0292899
136	127.7888898
137	127.5008298
138	126.8853533
139	126.4278917
140	126.2446301
141	126.2201631
142	125.5214276
143	125.4655319
144	125.423911
145	125.2756401
146	124.3621767
147	124.1182671
148	124.0995682
149	123.9269697
150	123.4574343
151	123.020192
152	122.7865043
153	122.7456899
154	122.6567496
155	122.533915
156	122.4788525
157	121.8447526
158	121.3766101
159	121.3697658
160	121.0125551
161	120.9852824
162	120.2572986
163	119.6603415
164	119.0944063
165	119.0655471
166	118.9929445
167	118.8126681
168	118.2381425
169	117.982454
170	117.7551975
171	117.3935768
172	117.3462286
173	116.8871593
174	116.4425755
175	116.3967282
176	115.7986683
177	115.285277
178	114.7765513
179	114.7379508
180	114.2573186
181	113.8425382
182	113.4330307
183	113.0825112
184	113.0536336
185	112.6522888
186	112.3728364
187	111.9163675
188	111.50778
189	111.4696184
190	111.3234389
191	110.9584918
192	110.5510922
193	110.2065984
194	109.9109825
195	109.6337578
196	109.5836764
197	109.2158563
198	109.1832907
199	108.5060276
200	108.1731191
201	107.9129539
202	107.3292802
203	107.2992186
204	106.8380384
205	106.4068403
206	106.2836081
207	105.9858346
208	105.8667815
209	105.2664414
210	105.1519914
211	105.0114889
212	104.733234
213	104.6225873
214	104.0693091
215	103.7507518
216	103.2913131
217	102.835537
218	102.6031525
219	102.3832152
220	101.9705495
221	101.9407595
222	101.7935991
223	101.7640843
224	101.1800177
225	100.7336461
226	100.4925853
227	100.1949814
228	99.72034094
229	99.30270357
230	99.27463334
231	99.08385662
232	98.96019065
233	98.59487361
234	98.56735482
235	98.31026558
236	98.27246972
237	97.88078133
238	97.55895201
239	97.21063455
240	97.10284481
241	97.05896065
242	96.96216951
243	96.89987708
244	96.65984497
245	96.26413817
246	95.95473407
247	95.84339117
248	95.82251401
249	95.40810958
250	95.35364915
251	95.24401909
252	95.11207352
253	95.00268772
254	94.88053403
255	94.5721621
256	94.52286055
257	94.15259792
258	93.80099893
259	93.30110357
260	93.19488584
261	92.81654043
262	92.79053258
263	92.61925821
264	92.51449822
265	92.43395155
266	92.1703981
267	91.96269488
268	91.93577925
269	91.77875161
270	91.40942567
271	91.30508466
272	91.17632655
273	91.08083845
274	90.97981931
275	90.91889088
276	90.27732667
277	90.2532017
278	90.15079327
279	90.10715196
280	90.07746185
281	89.75400736
282	89.73088448
283	89.63827009
284	89.61611927
285	89.21406513
286	88.89103513
287	88.86960652
288	88.79256908
289	88.77203485
290	88.69738755
291	88.37266437
292	88.35245515
293	88.33311061
294	88.26225315
295	88.13345307
296	87.96547601
297	87.84667082
298	87.54661658
299	87.21492813
300	86.98001347
301	86.74980683
302	86.73073695
303	86.66633357
304	86.61251381
305	86.59436887
306	86.37817269
307	86.2775468
308	86.17915273
309	86.0819463
310	85.99129195
311	85.89768052
312	85.77969961
313	85.47287315
314	85.3159988
315	85.02601665
316	85.01042677
317	84.73510596
318	84.70825178
319	84.62297968
320	84.59940427
321	84.55160931
322	84.52996909
323	84.45467483
324	84.4342664
325	84.41214544
326	84.31997753
327	84.24010891
328	84.02959852
329	83.77306176
330	83.41212476
331	83.34436285
332	82.96606329
333	82.89169957
334	82.87298402
335	82.84428579
336	82.78326695
337	82.770716
338	82.52680719
339	82.17395034
340	82.08660063
341	82.00216624
342	81.92053701
343	81.91041195
344	81.79856228
345	81.48549263
346	81.47329942
347	81.39741018
348	81.37836794
349	81.28927462
350	81.10795832
351	81.09505594
352	81.07394409
353	80.91861643
354	80.73677392
355	80.56287631
356	80.39653549
357	80.23738461
358	79.9567371
359	79.80515509
360	79.66010493
361	79.5212722
362	79.37152717
363	79.27624439
364	79.0978751
365	79.04222392
366	78.97072237
367	78.96077168
368	78.95509721
369	78.89939141
370	78.57374431
371	78.56451326
372	78.5522992
373	78.53415623
374	78.52395833
375	78.22078515
376	78.08864434
377	78.07894812
378	77.71766713
379	77.70644869
380	77.6873982
