iter	Passed	Remaining
412	3484	4953
413	3493	4944
414	3500	4934
415	3508	4924
416	3516	4916
417	3525	4908
418	3533	4899
419	3542	4891
420	3550	4882
421	3558	4874
422	3567	4865
423	3575	4857
424	3584	4849
425	3592	4841
426	3600	4831
427	3608	4822
428	3617	4814
429	3625	4805
430	3632	4795
431	3639	4785
432	3648	4777
433	3657	4769
434	3665	4760
435	3673	4752
436	3681	4742
437	3688	4732
438	3696	4724
439	3705	4715
440	3713	4707
441	3722	4699
442	3730	4689
443	3739	4682
444	3748	4675
445	3757	4666
446	3765	4658
447	3774	4650
448	3781	4640
449	3790	4632
450	3798	4623
451	3805	4614
452	3813	4605
453	3821	4596
454	3829	4587
455	3837	4578
456	3845	4569
457	3854	4561
458	3862	4552
459	3871	4544
460	3879	4535
461	3887	4526
462	3894	4517
463	3902	4508
464	3910	4499
465	3919	4491
466	3927	4482
467	3935	4474
468	3943	4464
469	3952	4456
470	3960	4447
471	3968	4439
472	3976	4430
473	3984	4421
474	3992	4412
475	4000	4403
476	4008	4395
477	4016	4386
478	4025	4378
479	4034	4370
480	4042	4361
481	4050	4353
482	4059	4345
483	4067	4336
484	4076	4328
485	4084	4319
486	4091	4310
487	4100	4301
488	4107	4292
489	4115	4283
490	4122	4273
491	4130	4265
492	4138	4256
493	4147	4247
494	4155	4239
495	4163	4230
496	4170	4221
497	4178	4211
498	4186	4203
499	4193	4193
500	4202	4185
501	4209	4176
502	4217	4166
503	4224	4157
504	4233	4149
505	4241	4140
506	4250	4133
507	4259	4124
508	4267	4116
509	4275	4107
510	4284	4100
511	4293	4092
512	4301	4083
513	4309	4074
514	4316	4065
515	4324	4056
516	4333	4048
517	4342	4040
518	4351	4032
519	4359	4023
520	4367	4015
521	4376	4007
522	4384	3998
523	4392	3990
524	4400	3981
525	4408	3972
526	4416	3963
527	4423	3954
528	4432	3946
529	4440	3937
530	4448	3928
531	4456	3920
532	4464	3911
533	4472	3903
534	4480	3894
535	4489	3886
536	4497	3877
537	4507	3870
538	4516	3863
539	4523	3853
540	4531	3844
541	4539	3835
542	4547	3826
543	4555	3818
544	4562	3809
545	4571	3800
546	4579	3792
547	4587	3783
548	4595	3775
549	4602	3766
550	4611	3757
551	4618	3748
552	4627	3740
553	4635	3731
554	4644	3724
555	4652	3715
556	4661	3707
557	4669	3698
558	4677	3689
559	4685	3681
560	4693	3673
561	4702	3665
562	4710	3656
563	4718	3647
564	4725	3638
565	4732	3628
566	4739	3619
567	4747	3610
568	4754	3601
569	4762	3592
570	4769	3583
571	4777	3574
572	4785	3566
573	4793	3557
574	4800	3548
575	4809	3540
576	4817	3531
577	4825	3523
578	4833	3514
579	4841	3505
580	4849	3497
581	4857	3488
582	4866	3480
583	4875	3472
584	4883	3464
585	4890	3455
586	4898	3446
587	4905	3437
588	4913	3428
589	4921	3419
590	4930	3412
591	4941	3405
592	4951	3398
593	4959	3390
594	4970	3383
595	4979	3375
596	4990	3368
597	4999	3360
598	5007	3352
599	5016	3344
600	5024	3335
601	5031	3326
602	5040	3318
603	5048	3309
604	5057	3301
605	5065	3293
606	5073	3284
607	5080	3275
608	5087	3266
609	5095	3257
610	5102	3248
611	5110	3239
612	5118	3231
613	5125	3222
614	5133	3213
615	5141	3204
616	5148	3196
617	5155	3187
618	5164	3178
619	5171	3169
620	5179	3161
621	5187	3152
622	5194	3143
623	5202	3134
624	5210	3126
625	5218	3117
626	5226	3109
627	5233	3100
628	5241	3091
629	5247	3082
630	5255	3073
631	5262	3064
632	5270	3055
633	5278	3047
634	5286	3038
635	5293	3029
636	5300	3020
637	5308	3011
638	5316	3003
639	5324	2994
640	5334	2987
641	5343	2979
642	5351	2971
643	5359	2962
644	5368	2954
645	5376	2946
646	5384	2937
647	5393	2929
648	5401	2921
649	5409	2912
650	5417	2904
